Nome,Período (Ano de Entrada – Saída),Observações / Fonte
Antonio Claudio Lucas da Nóbrega,2026 – atual (anunciado em ago/2026),"Reitor da UFF, anunciado para recriar a pasta após unificação."
Roberto Gomides,2026 – 2026,Nomeado após a unificação das secretarias de Desenvolvimento e Ciência.
Guilherme Mercês,2026 – 2026,Secretário interino durante o período de transição.
Renata Sphaier de Freitas,2026 – 2026,Exonerada a pedido em 29/04/2026.
Anderson Luis de Moraes,2024 – 2026,Empossado em 05/06/2024; permaneceu até a transição de 2026.
Mauro Azevedo Neto,2023 – 2024,Deixou o cargo após 1 ano e 3 meses.
Dr. Serginho (Sérgio Luiz Costa Azevedo Filho),2021 – 2022 (e retorno em 2023),Foi secretário entre 2021 e 2022 e retornou à pasta em 2023.
Leonardo Rodrigues,2019 – 2020,Gestão confirmada em documentos de prestação de contas.
Gabriell Neves,2018 – 2019,"Comandou a pasta como SECTIDS (Ciência, Tecnologia, Inovação e Desenvolvimento Social)."
Pedro Fernandes,2017 – 2018,"Secretário de Ciência, Tecnologia e Desenvolvimento Social; pediu demissão em jul/2017."
Gustavo Tutuca,"2013 – 2014, 2015, 2017",Ocupou o cargo em três ocasiões distintas.
Luiz Edmundo Horta Barbosa Costa Leite,2010 – 2013,"Engenheiro, assumiu em abril de 2010."
Alexandre Cardoso,2007 – 2010,Ocupou a pasta de janeiro de 2007 a 30 de março de 2010.
Wanderley de Souza,2004 – 2005 (aprox.),Mencionado como secretário em 2004.
Arnaldo Niskier,1968 – 1971,"Secretário de Estado de Ciência e Tecnologia na década de 1960/70; não se enquadra no período recente, mas consta como titular histórico."
