data_pub,pasta,titular,interino,arquivo
2010-06-15,GOVERNADOR,Sérgio Cabral,False,2010-06-15-parte-i-poder-executivo.pdf
2010-06-15,VICE-GOVERNADOR,Luiz Fernando de Souza,False,2010-06-15-parte-i-poder-executivo.pdf
2010-06-15,SECRETARIA DE ESTADO DA CASA CIVIL,Regis Fichtner,False,2010-06-15-parte-i-poder-executivo.pdf
2010-06-15,SECRETARIA DE ESTADO DE GOVERNO,Reynaldo da Silva Braga,False,2010-06-15-parte-i-poder-executivo.pdf
2010-06-15,SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTÃO,Sérgio Ruy Barbosa Guerra Martins,False,2010-06-15-parte-i-poder-executivo.pdf
2010-06-15,SECRETARIA DE ESTADO DE FAZENDA,Renato Augusto Zagallo Villela dos Santos,False,2010-06-15-parte-i-poder-executivo.pdf
2010-06-15,"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONÔMICO, ENERGIA, INDÚSTRIA E SERVIÇOS",Júlio César Carmo Bueno,False,2010-06-15-parte-i-poder-executivo.pdf
2010-06-15,SECRETARIA DE ESTADO DE OBRAS,Hudson Braga,False,2010-06-15-parte-i-poder-executivo.pdf
2010-06-15,SECRETARIA DE ESTADO DE SEGURANÇA,José Mariano Beltrame,False,2010-06-15-parte-i-poder-executivo.pdf
2010-06-15,SECRETARIA DE ESTADO DE ADMINISTRAÇÃO PENITENCIÁRIA,Cesar Rubens Monteiro de Carvalho,False,2010-06-15-parte-i-poder-executivo.pdf
2010-06-15,SECRETARIA DE ESTADO DE SAÚDE E DEFESA CIVIL,Sérgio Luiz Côrtes da Silveira,False,2010-06-15-parte-i-poder-executivo.pdf
2010-06-15,SECRETARIA DE ESTADO DE EDUCAÇÃO,Tereza Cristina Porto Xavier,False,2010-06-15-parte-i-poder-executivo.pdf
2010-06-15,SECRETARIA DE ESTADO DE CIÊNCIA E TECNOLOGIA,Luiz Edmundo Horta Barbosa Costa Leite,False,2010-06-15-parte-i-poder-executivo.pdf
2010-06-15,SECRETARIA DE ESTADO DE HABITAÇÃO,Bruno Feitosa Barboza,False,2010-06-15-parte-i-poder-executivo.pdf
2010-06-15,SECRETARIA DE ESTADO DE TRANSPORTES,Sebastião Rodrigues Pinto Neto,False,2010-06-15-parte-i-poder-executivo.pdf
2010-06-15,SECRETARIA DE ESTADO DO AMBIENTE,Marilene de Oliveira Ramos Múrias dos Santos,False,2010-06-15-parte-i-poder-executivo.pdf
2010-06-15,"SECRETARIA DE ESTADO DE AGRICULTURA, PECUÁRIA, PESCA E ABASTECIMENTO",Alberto Messias Mofati,False,2010-06-15-parte-i-poder-executivo.pdf
2010-06-15,SECRETARIA DE ESTADO DE TRABALHO E RENDA,Ronald Abrahão Azaro,False,2010-06-15-parte-i-poder-executivo.pdf
2010-06-15,SECRETARIA DE ESTADO DE CULTURA,Adriana Scorzelli Rattes,False,2010-06-15-parte-i-poder-executivo.pdf
2010-06-15,SECRETARIA DE ESTADO DE ASSISTÊNCIA SOCIAL E DIREITOS HUMANOS,Ricardo Manuel dos Santos Henriques,False,2010-06-15-parte-i-poder-executivo.pdf
2010-06-15,"SECRETARIA DE ESTADO DE TURISMO, ESPORTE E LAZER",Marcia Beatriz Lins Izidoro,False,2010-06-15-parte-i-poder-executivo.pdf
2010-06-15,PROCURADORIA GERAL DO ESTADO,Lucia Lea Guimarães Tavares,False,2010-06-15-parte-i-poder-executivo.pdf
2013-06-14,GOVERNADOR,Sérgio Cabral,False,2013-06-14-parte-i-poder-executivo.pdf
2013-06-14,VICE-GOVERNADOR,Luiz Fernando de Souza,False,2013-06-14-parte-i-poder-executivo.pdf
2013-06-14,SECRETARIA DE ESTADO DA CASA CIVIL,Regis Fichtner,False,2013-06-14-parte-i-poder-executivo.pdf
2013-06-14,SECRETARIA DE ESTADO DE GOVERNO,Wilson Carlos Cordeiro da Silva Carvalho,False,2013-06-14-parte-i-poder-executivo.pdf
2013-06-14,SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTÃO,Sérgio Ruy Barbosa Guerra Martins,False,2013-06-14-parte-i-poder-executivo.pdf
2013-06-14,SECRETARIA DE ESTADO DE FAZENDA,Renato Augusto Zagallo Villela dos Santos,False,2013-06-14-parte-i-poder-executivo.pdf
2013-06-14,"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONÔMICO, ENERGIA, INDÚSTRIA E SERVIÇOS",Júlio César Carmo Bueno,False,2013-06-14-parte-i-poder-executivo.pdf
2013-06-14,SECRETARIA DE ESTADO DE OBRAS,Hudson Braga,False,2013-06-14-parte-i-poder-executivo.pdf
2013-06-14,SECRETARIA DE ESTADO DE SEGURANÇA,José Mariano Beltrame,False,2013-06-14-parte-i-poder-executivo.pdf
2013-06-14,SECRETARIA DE ESTADO DE ADMINISTRAÇÃO PENITENCIÁRIA,Cesar Rubens Monteiro de Carvalho,False,2013-06-14-parte-i-poder-executivo.pdf
2013-06-14,SECRETARIA DE ESTADO DE SAÚDE,Sérgio Luiz Côrtes da Silveira,False,2013-06-14-parte-i-poder-executivo.pdf
2013-06-14,SECRETARIA DE ESTADO DE DEFESA CIVIL,Sérgio Simões,False,2013-06-14-parte-i-poder-executivo.pdf
2013-06-14,SECRETARIA DE ESTADO DE EDUCAÇÃO,Wilson Risolia Rodrigues,False,2013-06-14-parte-i-poder-executivo.pdf
2013-06-14,SECRETARIA DE ESTADO DE CIÊNCIA E TECNOLOGIA,Gustavo Reis Ferreira,False,2013-06-14-parte-i-poder-executivo.pdf
2013-06-14,SECRETARIA DE ESTADO DE HABITAÇÃO,Rafael Carneiro Monteiro Picciani,False,2013-06-14-parte-i-poder-executivo.pdf
2013-06-14,SECRETARIA DE ESTADO DE TRANSPORTES,Julio Luiz Baptista Lopes,False,2013-06-14-parte-i-poder-executivo.pdf
2013-06-14,SECRETARIA DE ESTADO DO AMBIENTE,Carlos Minc Baumfeld,False,2013-06-14-parte-i-poder-executivo.pdf
2013-06-14,SECRETARIA DE ESTADO DE AGRICULTURA E PECUÁRIA,Christino Aureo da Silva,False,2013-06-14-parte-i-poder-executivo.pdf
2013-06-14,"SECRETARIA DE ESTADO DE DESENVOLVIMENTO REGIONAL, ABASTECIMENTO E PESCA",Felipe dos Santos Peixoto,False,2013-06-14-parte-i-poder-executivo.pdf
2013-06-14,SECRETARIA DE ESTADO DE TRABALHO E RENDA,Claise Maria Alves,False,2013-06-14-parte-i-poder-executivo.pdf
2013-06-14,SECRETARIA DE ESTADO DE CULTURA,Adriana Scorzelli Rattes,False,2013-06-14-parte-i-poder-executivo.pdf
2013-06-14,SECRETARIA DE ESTADO DE ASSISTÊNCIA SOCIAL E DIREITOS HUMANOS,Zaqueu da Silva Teixeira,False,2013-06-14-parte-i-poder-executivo.pdf
2013-06-14,SECRETARIA DE ESTADO DE ESPORTE E LAZER,André Luiz Lazaroni de Moraes,False,2013-06-14-parte-i-poder-executivo.pdf
2013-06-14,SECRETARIA DE ESTADO DE TURISMO,Ronald Abrahão Ázaro,False,2013-06-14-parte-i-poder-executivo.pdf
2013-06-14,SECRETARIA DE ESTADO DE ENVELHECIMENTO SAUDÁVEL E QUALIDADE DE VIDA,Marcus Vinicius de Vasconcelos Ferreira,False,2013-06-14-parte-i-poder-executivo.pdf
2013-06-14,SECRETARIA DE ESTADO DE PROTEÇÃO E DEFESA DO CONSUMIDOR,Cidinha Campos,False,2013-06-14-parte-i-poder-executivo.pdf
2013-06-14,SECRETARIA DE ESTADO DE PREVENÇÃO A DEPENDÊNCIA QUÍMICA,Filipe de Almeida Pereira,False,2013-06-14-parte-i-poder-executivo.pdf
2013-06-14,PROCURADORIA GERAL DO ESTADO,Lucia Lea Guimarães Tavares,False,2013-06-14-parte-i-poder-executivo.pdf
2018-06-15,GOVERNADOR,Luiz Fernando de Souza,False,2018-06-15-parte-i-poder-executivo.pdf
2018-06-15,VICE-GOVERNADOR,Francisco Dornelles,False,2018-06-15-parte-i-poder-executivo.pdf
2018-06-15,SECRETARIA DE ESTADO DE GOVERNO,Affonso Henriques Monnerat Alves da Cruz,False,2018-06-15-parte-i-poder-executivo.pdf
2018-06-15,SECRETARIA DE ESTADO DE FAZENDA E PLANEJAMENTO,Luiz Cláudio Fernandes Lourenço Gomes,False,2018-06-15-parte-i-poder-executivo.pdf
2018-06-15,SECRETARIA DE ESTADO DE OBRAS E HABITAÇÃO,José Iran Peixoto Júnior,False,2018-06-15-parte-i-poder-executivo.pdf
2018-06-15,SECRETARIA DE ESTADO DE SEGURANÇA,General de Divisão Richard Fernandez Nunes,False,2018-06-15-parte-i-poder-executivo.pdf
2018-06-15,SECRETARIA DE ESTADO DE ADMINISTRAÇÃO PENITENCIÁRIA,David Anthony Gonçalves Alves,False,2018-06-15-parte-i-poder-executivo.pdf
2018-06-15,SECRETARIA DE ESTADO DE DEFESA CIVIL,Roberto Robadey Costa Junior,False,2018-06-15-parte-i-poder-executivo.pdf
2018-06-15,SECRETARIA DE ESTADO DE EDUCAÇÃO,Wagner Granja Victer,False,2018-06-15-parte-i-poder-executivo.pdf
2018-06-15,"SECRETARIA DE ESTADO DE CIÊNCIA, TECNOLOGIA, INOVAÇÃO E DESENVOLVIMENTO SOCIAL",Gabriell Carvalho Neves Franco dos Santos,False,2018-06-15-parte-i-poder-executivo.pdf
2018-06-15,SECRETARIA DE ESTADO DE TRANSPORTES,Rodrigo Goulart de Oliveira Vieira,False,2018-06-15-parte-i-poder-executivo.pdf
2018-06-15,SECRETARIA DE ESTADO DO AMBIENTE,Marco Aurelio Damato Porto,False,2018-06-15-parte-i-poder-executivo.pdf
2018-06-15,"SECRETARIA DE ESTADO DE AGRICULTURA, PECUÁRIA, PESCA E ABASTECIMENTO",Alex Sandro Pedrosa Grillo,False,2018-06-15-parte-i-poder-executivo.pdf
2018-06-15,SECRETARIA DE ESTADO DE TRABALHO E RENDA,Milton Rattes de Aguiar,False,2018-06-15-parte-i-poder-executivo.pdf
2018-06-15,SECRETARIA DE ESTADO DE CULTURA,Leandro Sampaio Monteiro,False,2018-06-15-parte-i-poder-executivo.pdf
2018-06-15,"SECRETARIA DE ESTADO DE ESPORTE, LAZER E JUVENTUDE",José Ricardo Ferreira de Brito,False,2018-06-15-parte-i-poder-executivo.pdf
2018-06-15,SECRETARIA DE ESTADO DE TURISMO,Nilo Sergio Alves Felix,False,2018-06-15-parte-i-poder-executivo.pdf
2018-06-15,PROCURADORIA GERAL DO ESTADO,Rodrigo Crelier Zambão da Silva,False,2018-06-15-parte-i-poder-executivo.pdf
2021-06-15,GOVERNADOR,Cláudio Bomfim de Castro e Silva,False,2021-06-15-parte-i-poder-executivo.pdf
2021-06-15,SECRETARIA DE ESTADO DA CASA CIVIL,Nicola Moreira Miccione,False,2021-06-15-parte-i-poder-executivo.pdf
2021-06-15,SECRETARIA DE ESTADO DE GOVERNO,Rodrigo da Silva Bacellar,False,2021-06-15-parte-i-poder-executivo.pdf
2021-06-15,SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTÃO,José Luis Cardoso Zamith,False,2021-06-15-parte-i-poder-executivo.pdf
2021-06-15,SECRETARIA DE ESTADO DE FAZENDA,Nelson Rocha,False,2021-06-15-parte-i-poder-executivo.pdf
2021-06-15,"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONÔMICO, ENERGIA E RELAÇÕES INTERNACIONAIS",Vinícius Medeiros Farah,False,2021-06-15-parte-i-poder-executivo.pdf
2021-06-15,SECRETARIA DE ESTADO DE INFRAESTRUTURA E OBRAS,Max Rodrigues Lemos,False,2021-06-15-parte-i-poder-executivo.pdf
2021-06-15,SECRETARIA DE ESTADO DE POLÍCIA MILITAR,Cel. PM Rogério Figueredo de Lacerda,False,2021-06-15-parte-i-poder-executivo.pdf
2021-06-15,SECRETARIA DE ESTADO DE POLÍCIA CIVIL,Allan Turnowski,False,2021-06-15-parte-i-poder-executivo.pdf
2021-06-15,SECRETARIA DE ESTADO DE ADMINISTRAÇÃO PENITENCIÁRIA,Raphael Montenegro Hirschfeld,False,2021-06-15-parte-i-poder-executivo.pdf
2021-06-15,SECRETARIA DE ESTADO DE DEFESA CIVIL,Cel. BM Leandro Sampaio Monteiro,False,2021-06-15-parte-i-poder-executivo.pdf
2021-06-15,SECRETARIA DE ESTADO DE SAÚDE,Alexandre Otavio Chieppe,False,2021-06-15-parte-i-poder-executivo.pdf
2021-06-15,SECRETARIA DE ESTADO DE EDUCAÇÃO,Alexandre Valle Cardoso,False,2021-06-15-parte-i-poder-executivo.pdf
2021-06-15,"SECRETARIA DE ESTADO DE CIÊNCIA, TECNOLOGIA E INOVAÇÃO",Sérgio Luiz Costa Azevedo Filho,False,2021-06-15-parte-i-poder-executivo.pdf
2021-06-15,SECRETARIA DE ESTADO DO AMBIENTE E SUSTENTABILIDADE,Thiago Pampolha Gonçalves,False,2021-06-15-parte-i-poder-executivo.pdf
2021-06-15,"SECRETARIA DE ESTADO DE AGRICULTURA, PECUÁRIA, PESCA E ABASTECIMENTO",Marcelo Andre Cid Heraclito do Porto Queiroz,False,2021-06-15-parte-i-poder-executivo.pdf
2021-06-15,SECRETARIA DE ESTADO DE CULTURA E ECONOMIA CRIATIVA,Danielle Christian Ribeiro Barros,False,2021-06-15-parte-i-poder-executivo.pdf
2021-06-15,SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL E DIREITOS HUMANOS,Matheus Quintal de Sousa Ribeiro,False,2021-06-15-parte-i-poder-executivo.pdf
2021-06-15,"SECRETARIA DE ESTADO DE ESPORTE, LAZER E JUVENTUDE",Leandro Alves de Almeida Santos,False,2021-06-15-parte-i-poder-executivo.pdf
2021-06-15,SECRETARIA DE ESTADO DE TURISMO,Gustavo Reis Ferreira,False,2021-06-15-parte-i-poder-executivo.pdf
2021-06-15,SECRETARIA DE ESTADO DAS CIDADES,Uruan Cintra de Andrade,False,2021-06-15-parte-i-poder-executivo.pdf
2021-06-15,CONTROLADORIA GERAL DO ESTADO,Francisco Ricardo Soares,False,2021-06-15-parte-i-poder-executivo.pdf
2021-06-15,GABINETE DE SEGURANÇA INSTITUCIONAL DO GOVERNO,Marcelo Cordeiro Bertolucci,False,2021-06-15-parte-i-poder-executivo.pdf
2021-06-15,SECRETARIA DE ESTADO DE TRABALHO E RENDA,Leonardo Vieira Mendes,False,2021-06-15-parte-i-poder-executivo.pdf
2021-06-15,SECRETARIA DE ESTADO DE ENVELHECIMENTO SAUDÁVEL,Antonio Ferreira Pedregal Filho,False,2021-06-15-parte-i-poder-executivo.pdf
2021-06-15,SECRETARIA DE ESTADO DE VITIMADOS,Pricilla Azevedo Barletta,False,2021-06-15-parte-i-poder-executivo.pdf
2021-06-15,SECRETARIA EXTRAORDINÁRIA DE REPRESENTAÇÃO DO GOVERNO EM BRASÍLIA,André Luís Dantas Ferreira,False,2021-06-15-parte-i-poder-executivo.pdf
2021-06-15,SECRETARIA DE ESTADO DE JUSTIÇA,Sérgio Zveiter,False,2021-06-15-parte-i-poder-executivo.pdf
2021-06-15,PROCURADORIA GERAL DO ESTADO,Bruno Dubeux,False,2021-06-15-parte-i-poder-executivo.pdf
2024-09-16,GOVERNADOR,Cláudio Bomfim de Castro e Silva,False,2024-09-16-parte-i-poder-executivo.pdf
2024-09-16,VICE-GOVERNADOR,Thiago Pampolha Gonçalves,False,2024-09-16-parte-i-poder-executivo.pdf
2024-09-16,SECRETARIA DE ESTADO DA CASA CIVIL,Nicola Moreira Miccione,False,2024-09-16-parte-i-poder-executivo.pdf
2024-09-16,SECRETARIA DE ESTADO DO GABINETE DO GOVERNADOR,Rodrigo Ratkus Abel,False,2024-09-16-parte-i-poder-executivo.pdf
2024-09-16,SECRETARIA DE ESTADO DE GOVERNO,Andre Luis Dantas Ferreira,False,2024-09-16-parte-i-poder-executivo.pdf
2024-09-16,SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTÃO,Adilson de Faria Maciel,False,2024-09-16-parte-i-poder-executivo.pdf
2024-09-16,SECRETARIA DE ESTADO DE FAZENDA,Leonardo Lobo Pires,False,2024-09-16-parte-i-poder-executivo.pdf
2024-09-16,SECRETARIA DE ESTADO DE POLÍCIA MILITAR,Marcelo de Menezes Nogueira,False,2024-09-16-parte-i-poder-executivo.pdf
2024-09-16,SECRETARIA DE ESTADO DE POLÍCIA CIVIL,Felipe Lobato Curi,False,2024-09-16-parte-i-poder-executivo.pdf
2024-09-16,SECRETARIA DE ESTADO DE ADMINISTRAÇÃO PENITENCIÁRIA,Maria Rosa Lo Duca Nebel,False,2024-09-16-parte-i-poder-executivo.pdf
2024-09-16,SECRETARIA DE ESTADO DE DEFESA CIVIL,Tarciso Antonio Salles Junior,False,2024-09-16-parte-i-poder-executivo.pdf
2024-09-16,SECRETARIA DE ESTADO DE SAÚDE,Cláudia Maria Braga de Mello,False,2024-09-16-parte-i-poder-executivo.pdf
2024-09-16,SECRETARIA DE ESTADO DE EDUCAÇÃO,Roberta Barreto de Oliveira,False,2024-09-16-parte-i-poder-executivo.pdf
2024-09-16,"SECRETARIA DE ESTADO DE CIÊNCIA, TECNOLOGIA E INOVAÇÃO",Anderson Luis de Moraes,False,2024-09-16-parte-i-poder-executivo.pdf
2024-09-16,SECRETARIA DE ESTADO DE TRANSPORTE E MOBILIDADE URBANA,Washington Reis de Oliveira,False,2024-09-16-parte-i-poder-executivo.pdf
2024-09-16,SECRETARIA DE ESTADO DO AMBIENTE E SUSTENTABILIDADE,Bernardo Chim Rossi,False,2024-09-16-parte-i-poder-executivo.pdf
2024-09-16,"SECRETARIA DE ESTADO DE AGRICULTURA, PECUÁRIA, PESCA E ABASTECIMENTO",Deodalto José Ferreira,False,2024-09-16-parte-i-poder-executivo.pdf
2024-09-16,SECRETARIA DE ESTADO DE CULTURA E ECONOMIA CRIATIVA,Danielle Christian Ribeiro Barros,False,2024-09-16-parte-i-poder-executivo.pdf
2024-09-16,SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL E DIREITOS HUMANOS,Rosangela de Souza Gomes,False,2024-09-16-parte-i-poder-executivo.pdf
2024-09-16,SECRETARIA DE ESTADO DE ESPORTE E LAZER,Rafael Carneiro Monteiro Picciani,False,2024-09-16-parte-i-poder-executivo.pdf
2024-09-16,SECRETARIA DE ESTADO DE TURISMO,Gustavo Reis Ferreira,False,2024-09-16-parte-i-poder-executivo.pdf
2024-09-16,CONTROLADORIA GERAL DO ESTADO,Demetrio Abdennur Farah Neto,False,2024-09-16-parte-i-poder-executivo.pdf
2024-09-16,GABINETE DE SEGURANÇA INSTITUCIONAL DO GOVERNO DO ESTADO DO RIO DE JANEIRO,Edu Guimarães ce Souza,False,2024-09-16-parte-i-poder-executivo.pdf
2024-09-16,SECRETARIA DE ESTADO DE TRABALHO E RENDA,Felipe Rangel Garcia,False,2024-09-16-parte-i-poder-executivo.pdf
2024-09-16,SECRETARIA DE ESTADO DE TRANSFORMAÇÃO DIGITAL,José Mauro de Farias Junior,False,2024-09-16-parte-i-poder-executivo.pdf
2024-09-16,SECRETARIA DE ESTADO DE INFRAESTRUTURA E OBRAS PÚBLICAS,Uruan Cintra de Andrade,False,2024-09-16-parte-i-poder-executivo.pdf
2024-09-16,SECRETARIA DE ESTADO DE HABITAÇÃO DE INTERESSE SOCIAL,Bruno Felgueira Dauaire,False,2024-09-16-parte-i-poder-executivo.pdf
2024-09-16,SECRETARIA DE ESTADO DA MULHER,Heloisa Helena de Alencar Aguiar,False,2024-09-16-parte-i-poder-executivo.pdf
2024-09-16,SECRETARIA DE ESTADO DAS CIDADES,Douglas Ruas dos Santos,False,2024-09-16-parte-i-poder-executivo.pdf
2024-09-16,SECRETARIA DE ESTADO DE DEFESA DO CONSUMIDOR,Gutemberg de Paula Fonseca,False,2024-09-16-parte-i-poder-executivo.pdf
2024-09-16,SECRETARIA DE ESTADO DE SEGURANÇA PÚBLICA,Victor Cesar Carvalho dos Santos,False,2024-09-16-parte-i-poder-executivo.pdf
